"oop_poorest","oop_poorer","oop_middle","oop_richer","oop_richest"
0.3138,0.1395,0.1121,0.0903,0.0991
0.3144,0.1474,0.1085,0.0924,0.1014
0.3203,0.1639,0.115,0.0913,0.1073
0.315,0.1524,0.1114,0.0954,0.1135
0.3162,0.1406,0.1138,0.0961,0.1065
0.3201,0.1489,0.1164,0.0942,0.1079
0.3179,0.144,0.1043,0.094,0.0959
0.316,0.1481,0.1065,0.0897,0.1136
0.3097,0.1382,0.1045,0.0849,0.1011
0.3194,0.1309,0.1069,0.0903,0.1066
0.305,0.1438,0.1064,0.0904,0.0942
0.3156,0.1432,0.1092,0.0883,0.1125
0.3118,0.141,0.1108,0.09,0.1075
0.3188,0.1481,0.1143,0.0907,0.1097
0.3155,0.1522,0.1113,0.0984,0.1008
0.3232,0.14,0.1124,0.0944,0.1163
0.3154,0.1476,0.1144,0.0899,0.1005
0.3138,0.1476,0.1163,0.0935,0.101
0.3036,0.1388,0.1138,0.0861,0.1021
0.3189,0.1468,0.113,0.0918,0.113
0.314,0.1489,0.1083,0.0886,0.1063
0.3121,0.1419,0.1081,0.088,0.1002
0.3212,0.1353,0.1111,0.0889,0.1005
0.3083,0.1498,0.1107,0.0962,0.1069
0.3153,0.1366,0.1107,0.089,0.0964
0.3132,0.1458,0.1114,0.0894,0.1043
0.317,0.1534,0.1095,0.0982,0.1076
0.3192,0.1489,0.1156,0.0915,0.1053
0.3153,0.1539,0.1102,0.0952,0.113
0.3093,0.1408,0.1132,0.0915,0.1085
0.3185,0.1544,0.1113,0.0958,0.1002
0.3091,0.1488,0.1115,0.0926,0.1056
0.3167,0.1501,0.1116,0.0903,0.1063
0.3035,0.1494,0.1122,0.0871,0.1091
0.3071,0.1398,0.1116,0.0939,0.104
0.3036,0.1439,0.1069,0.0874,0.0972
0.3096,0.1562,0.1112,0.0902,0.1017
0.3073,0.1379,0.1073,0.0873,0.0988
0.3068,0.1485,0.108,0.0925,0.0969
0.3007,0.1424,0.1041,0.0879,0.1043
0.3035,0.1474,0.107,0.086,0.1033
0.3219,0.148,0.1174,0.1001,0.1063
0.3112,0.1502,0.11,0.09,0.1059
0.3166,0.1429,0.1132,0.0888,0.1113
0.3091,0.1527,0.1119,0.0973,0.1015
0.3049,0.138,0.1072,0.0888,0.1089
0.3119,0.1464,0.112,0.0899,0.1038
0.3207,0.1503,0.1186,0.0893,0.1095
0.3132,0.1409,0.1097,0.0928,0.1036
0.3144,0.1487,0.1119,0.0854,0.0998
0.3081,0.1424,0.1049,0.0868,0.0955
0.3112,0.1452,0.1127,0.0931,0.1027
0.3071,0.1372,0.1111,0.0888,0.1044
0.3109,0.129,0.1125,0.0925,0.1046
0.3123,0.1424,0.1134,0.0864,0.108
0.3039,0.1454,0.0972,0.0852,0.099
0.3126,0.1546,0.1177,0.0946,0.11
0.3177,0.1487,0.1172,0.0933,0.1104
0.3061,0.1474,0.1112,0.0912,0.1097
0.3027,0.1448,0.1097,0.0839,0.0989
0.3172,0.1485,0.1064,0.0946,0.0997
0.3101,0.1489,0.1105,0.0903,0.1003
0.3131,0.1422,0.1235,0.094,0.1025
0.3055,0.1414,0.1117,0.0859,0.1056
0.3156,0.1409,0.1073,0.0896,0.098
0.3187,0.1461,0.1119,0.0906,0.1056
