"cc_poorest","cc_poorer","cc_middle","cc_richer","cc_richest"
0.8862,0.8295,0.7674,0.732,0.6543
0.8845,0.8264,0.7592,0.7378,0.6446
0.8937,0.8279,0.7814,0.7447,0.6524
0.8888,0.8319,0.7746,0.7336,0.6504
0.8866,0.8265,0.7664,0.7355,0.662
0.8946,0.8242,0.7685,0.7324,0.65
0.8865,0.8296,0.7692,0.7412,0.6473
0.8911,0.8229,0.7678,0.7435,0.6425
0.8876,0.8307,0.7626,0.7145,0.6555
0.8885,0.8259,0.7663,0.7393,0.6455
0.8878,0.8127,0.7653,0.7341,0.6462
0.8878,0.8339,0.7561,0.7295,0.6555
0.8876,0.8356,0.773,0.7324,0.666
0.8846,0.8287,0.7647,0.7355,0.6487
0.881,0.8279,0.7691,0.7297,0.6631
0.8862,0.8281,0.7724,0.7569,0.6548
0.8917,0.8296,0.7616,0.7232,0.6549
0.8902,0.8317,0.773,0.7403,0.6565
0.8864,0.8248,0.7643,0.7391,0.6471
0.8962,0.8296,0.7694,0.7316,0.6458
0.8876,0.8278,0.7661,0.7313,0.6524
0.8878,0.8374,0.7679,0.7276,0.6561
0.8955,0.8328,0.77,0.7273,0.6465
0.8849,0.8242,0.7651,0.7258,0.6504
0.8883,0.8402,0.7694,0.7351,0.658
0.8929,0.8313,0.7466,0.7132,0.6524
0.8909,0.8308,0.7585,0.7246,0.6534
0.8845,0.8294,0.763,0.7285,0.663
0.8861,0.8268,0.7563,0.7095,0.6493
0.8913,0.8241,0.761,0.7313,0.6508
0.8818,0.8219,0.7562,0.733,0.6401
0.8918,0.8254,0.7669,0.7408,0.657
0.8945,0.8332,0.7662,0.7341,0.6701
0.8882,0.8288,0.7631,0.729,0.6564
0.8829,0.8344,0.7671,0.7316,0.6611
0.8889,0.8238,0.7639,0.7272,0.6491
0.8879,0.8309,0.7756,0.7441,0.6539
0.8852,0.83,0.7638,0.7259,0.6542
0.8888,0.8326,0.7644,0.7256,0.6502
0.8917,0.8311,0.762,0.74,0.6501
0.884,0.8302,0.7562,0.7226,0.6474
