"country","code","age","lx","lx_sum","lx_per"
"Cambodia","KHM",98,164.849311979318,7699.878,0.0214093407686872
"Cambodia","KHM",99,47.2025505992341,7699.878,0.00613029850592881
"Chad","TCD",80,4458.47320397771,26551.569,0.167917504384683
"Chad","TCD",81,4031.55581108918,26551.569,0.151838703433653
"Chad","TCD",82,3606.21174720049,26551.569,0.135819158076891
"Chad","TCD",83,3185.58767031134,26551.569,0.119977379502934
"Chad","TCD",84,2774.40356742127,26551.569,0.104491134494586
"Chad","TCD",85,2378.95275452965,26551.569,0.089597445428918
"Chad","TCD",86,2007.10187663572,26551.569,0.0755925902772721
"Chad","TCD",87,1665.05486356374,26551.569,0.0627102249047407
"Chad","TCD",88,1357.35292996301,26551.569,0.0511213830701685
"Chad","TCD",89,1086.87457530789,26551.569,0.0409344764261536
"Chad","TCD",90,854.835583897746,3183.825,0.268493269541431
"Chad","TCD",91,660.789024857018,3183.825,0.207545648663798
"Chad","TCD",92,502.893410660509,3183.825,0.157952591822889
"Chad","TCD",93,377.912697133415,3183.825,0.118697697622644
"Chad","TCD",94,281.216283451312,3183.825,0.0883265516953074
"Chad","TCD",95,206.779012140166,3183.825,0.0649467267014255
"Chad","TCD",96,147.181169076323,3183.825,0.0462277823298463
"Chad","TCD",97,96.4869829608627,3183.825,0.0303053663316491
"Chad","TCD",98,50.2446253195937,3183.825,0.0157812145201428
"Chad","TCD",99,5.48621050305505,3183.825,0.00172315077086682
"China","CHN",80,10813.5558541358,75407.942,0.143400755508429
"China","CHN",81,10081.6587271101,75407.942,0.13369491939072
"China","CHN",82,9349.94169530236,75407.942,0.123991471552192
"China","CHN",83,8618.76494914868,75407.942,0.11429518855121
"China","CHN",84,7888.66877430308,75407.942,0.104613235225317
"China","CHN",85,7160.37355163761,75407.942,0.0949551646912418
"China","CHN",86,6434.77975724232,75407.942,0.0853329183448916
"China","CHN",87,5716.06885586024,75407.942,0.0758019474375821
"China","CHN",88,5011.70330088732,75407.942,0.0664612130760354
"China","CHN",89,4332.42653437251,75407.942,0.0574531862223811
"China","CHN",90,3692.26298701766,17735.754,0.208181901204632
"China","CHN",91,3108.51807817764,17735.754,0.175268448027506
"China","CHN",92,2591.39496424733,17735.754,0.146111350227756
"China","CHN",93,2143.99453866168,17735.754,0.120885446351008
"China","CHN",94,1762.31543189568,17735.754,0.0993651260552937
"China","CHN",95,1435.25401146438,17735.754,0.0809243301110503
"China","CHN",96,1144.60438192288,17735.754,0.0645365504011208
"China","CHN",97,875.801826915264,17735.754,0.04938058043178
"China","CHN",98,617.922809174585,17735.754,0.0348405153327332
"China","CHN",99,363.684970522888,17735.754,0.020505751857118
"Colombia","COL",80,12083.8299783383,94459.344,0.127926253419019
"Colombia","COL",81,11540.1610421367,94459.344,0.122170666801759
"Colombia","COL",82,10993.7417949982,94459.344,0.116385963838561
"Colombia","COL",83,10439.0716150488,94459.344,0.11051391183755
"Colombia","COL",84,9867.89956947793,94459.344,0.104467161760915
"Colombia","COL",85,9269.22441453771,94459.344,0.0981292482249052
"Colombia","COL",86,8629.29459554354,94459.344,0.0913545894998333
"Colombia","COL",87,7944.19837105183,94459.344,0.0841017736800272
"Colombia","COL",88,7219.86381286007,94459.344,0.0764335586838298
"Colombia","COL",89,6472.05880600685,94459.344,0.0685168722535999
"Colombia","COL",90,5726.39104877182,32887.626,0.174119927317704
"Colombia","COL",91,5018.30805267573,32887.626,0.152589550023335
"Colombia","COL",92,4371.82863556795,32887.626,0.132932326449101
"Colombia","COL",93,3799.54292162649,32887.626,0.115531079124607
"Colombia","COL",94,3302.612341358,32887.626,0.100421123171311
"Colombia","COL",95,2870.76963159776,32887.626,0.0872902663025224
"Colombia","COL",96,2482.31883550968,32887.626,0.0754788088234061
